,Unnamed: 0,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path,jpeg_path
0,0,fbs0005,DFBSJ142114.64+425823.6,21:14.6,+42:58:23.63,13.86,13.15,OK,101,16,-2.19E-11,-3.67E-14,-9.37E-12,-1.53E-09,1.02E-11,-2.28E-14,2.11E-17,-7.00E-21,specimages/fbs0005-DFBSJ142114.64+425823.6.fits,specimagesjpeg/fbs0005-DFBSJ142114.64+425823.6.jpg
1,1,fbs0005,DFBSJ142122.01+425921.3,21:22.0,+42:59:21.37,12.85,12.2,OK,106,13,-3.79E-11,-3.65E-14,-1.21E-11,-1.87E-09,1.80E-11,-4.71E-14,4.81E-17,-1.72E-20,specimages/fbs0005-DFBSJ142122.01+425921.3.fits,specimagesjpeg/fbs0005-DFBSJ142122.01+425921.3.jpg
2,2,fbs0005,DFBSJ142125.68+425138.2,21:25.7,+42:51:38.29,16.38,14.85,NL,83,17,-1.82E-11,-1.31E-14,-3.94E-12,-6.57E-10,3.29E-12,-6.01E-15,4.80E-18,-1.42E-21,specimages/fbs0005-DFBSJ142125.68+425138.2.fits,specimagesjpeg/fbs0005-DFBSJ142125.68+425138.2.jpg
3,3,fbs0005,DFBSJ142126.80+425301.4,21:26.8,+42:53:01.40,14.45,13.57,NL,120,17,-4.08E-11,-2.94E-14,-8.84E-12,-1.48E-09,8.68E-12,-1.79E-14,1.57E-17,-5.01E-21,specimages/fbs0005-DFBSJ142126.80+425301.4.fits,specimagesjpeg/fbs0005-DFBSJ142126.80+425301.4.jpg
4,4,fbs0005,DFBSJ142141.43+430014.5,21:41.4,+43:00:14.59,16.39,16.47,NL,90,16,-1.02E-12,-1.71E-15,-4.38E-13,-7.17E-11,5.49E-13,-1.33E-15,1.32E-18,-4.63E-22,specimages/fbs0005-DFBSJ142141.43+430014.5.fits,specimagesjpeg/fbs0005-DFBSJ142141.43+430014.5.jpg
5,5,fbs0005,DFBSJ142145.60+425741.8,21:45.6,+42:57:41.81,17.01,16.58,U,27,18,-1.00E-11,-2.66E-15,-1.03E-12,-1.76E-10,8.97E-13,-1.69E-15,1.38E-18,-4.17E-22,specimages/fbs0005-DFBSJ142145.60+425741.8.fits,specimagesjpeg/fbs0005-DFBSJ142145.60+425741.8.jpg
6,6,fbs0006,DFBSJ144118.92+425749.2,41:18.9,+42:57:49.27,15.95,14.96,U,116,16,-1.32E-11,-2.21E-14,-5.65E-12,-9.24E-10,5.04E-12,-1.00E-14,8.61E-18,-2.72E-21,specimages/fbs0006-DFBSJ144118.92+425749.2.fits,specimagesjpeg/fbs0006-DFBSJ144118.92+425749.2.jpg
7,7,fbs0006,DFBSJ144119.77+430129.7,41:19.8,+43:01:29.72,12.38,12.04,OK,120,10,7.79E-10,8.89E-13,1.98E-10,2.91E-08,-1.42E-10,2.71E-13,-2.38E-16,8.00E-20,specimages/fbs0006-DFBSJ144119.77+430129.7.fits,specimagesjpeg/fbs0006-DFBSJ144119.77+430129.7.jpg
8,8,fbs0006,DFBSJ144124.90+425948.6,41:24.9,+42:59:48.65,16.77,15.25,U,102,17,-2.35E-11,-1.70E-14,-5.10E-12,-8.51E-10,4.37E-12,-8.26E-15,6.81E-18,-2.07E-21,specimages/fbs0006-DFBSJ144124.90+425948.6.fits,specimagesjpeg/fbs0006-DFBSJ144124.90+425948.6.jpg
9,9,fbs0006,DFBSJ144129.51+425736.3,41:29.5,+42:57:36.34,16.14,15.48,U,81,18,-6.57E-12,-1.75E-15,-6.78E-13,-1.16E-10,8.25E-13,-1.84E-15,1.67E-18,-5.35E-22,specimages/fbs0006-DFBSJ144129.51+425736.3.fits,specimagesjpeg/fbs0006-DFBSJ144129.51+425736.3.jpg
10,10,fbs0006,DFBSJ144135.00+430003.3,41:35.0,+43:00:03.33,16.59,15.93,U,85,17,-2.34E-12,-1.69E-15,-5.08E-13,-8.48E-11,6.51E-13,-1.52E-15,1.43E-18,-4.76E-22,specimages/fbs0006-DFBSJ144135.00+430003.3.fits,specimagesjpeg/fbs0006-DFBSJ144135.00+430003.3.jpg
11,11,fbs0006,DFBSJ144136.84+425315.9,41:36.8,+42:53:15.98,14.31,12.92,OK,99,16,-8.86E-11,-1.48E-13,-3.79E-11,-6.20E-09,3.37E-11,-6.67E-14,5.73E-17,-1.81E-20,specimages/fbs0006-DFBSJ144136.84+425315.9.fits,specimagesjpeg/fbs0006-DFBSJ144136.84+425315.9.jpg
12,12,fbs0006,DFBSJ144144.19+425739.1,41:44.2,+42:57:39.17,16.13,15.19,U,93,17,-1.40E-11,-1.01E-14,-3.03E-12,-5.06E-10,2.85E-12,-5.76E-15,4.98E-18,-1.57E-21,specimages/fbs0006-DFBSJ144144.19+425739.1.fits,specimagesjpeg/fbs0006-DFBSJ144144.19+425739.1.jpg
13,13,fbs0006,DFBSJ144149.19+425811.0,41:49.2,+42:58:11.02,15.15,14.47,OK,89,15,9.90E-13,-2.77E-14,-7.36E-12,-1.18E-09,6.86E-12,-1.43E-14,1.28E-17,-4.19E-21,specimages/fbs0006-DFBSJ144149.19+425811.0.fits,specimagesjpeg/fbs0006-DFBSJ144149.19+425811.0.jpg
14,14,fbs0006,DFBSJ144150.64+430212.2,41:50.6,+43:02:12.20,16.75,15.77,U,79,20,-8.67E-14,-6.87E-16,-3.21E-13,-5.75E-11,4.27E-13,-9.42E-16,8.29E-19,-2.57E-22,specimages/fbs0006-DFBSJ144150.64+430212.2.fits,specimagesjpeg/fbs0006-DFBSJ144150.64+430212.2.jpg
15,15,fbs0006,DFBSJ144154.62+425758.8,41:54.6,+42:57:58.86,13.54,12.46,OK,98,14,3.65E-11,-2.14E-13,-5.54E-11,-8.71E-09,5.04E-11,-1.05E-13,9.46E-17,-3.12E-20,specimages/fbs0006-DFBSJ144154.62+425758.8.fits,specimagesjpeg/fbs0006-DFBSJ144154.62+425758.8.jpg
16,16,fbs0007,DFBSJ150110.13+425902.6,01:10.1,+42:59:02.63,12.17,11.79,OK,120,13,5.15E-10,4.95E-13,1.64E-10,2.53E-08,-1.14E-10,1.98E-13,-1.56E-16,4.70E-20,specimages/fbs0007-DFBSJ150110.13+425902.6.fits,specimagesjpeg/fbs0007-DFBSJ150110.13+425902.6.jpg
17,17,fbs0007,DFBSJ150111.23+425941.7,01:11.2,+42:59:41.76,14.58,15.09,OK,90,16,3.49E-11,5.85E-14,1.50E-11,2.44E-09,-1.08E-11,1.80E-14,-1.35E-17,3.83E-21,specimages/fbs0007-DFBSJ150111.23+425941.7.fits,specimagesjpeg/fbs0007-DFBSJ150111.23+425941.7.jpg
18,18,fbs0007,DFBSJ150111.63+425431.1,01:11.6,+42:54:31.14,16.29,15.98,U,87,17,-5.29E-12,-3.82E-15,-1.15E-12,-1.92E-10,1.09E-12,-2.23E-15,1.95E-18,-6.24E-22,specimages/fbs0007-DFBSJ150111.63+425431.1.fits,specimagesjpeg/fbs0007-DFBSJ150111.63+425431.1.jpg
19,19,fbs0007,DFBSJ150112.99+425641.7,01:13.0,+42:56:41.79,13.92,13.18,OK,116,16,-1.41E-11,-2.36E-14,-6.05E-12,-9.88E-10,7.59E-12,-1.79E-14,1.71E-17,-5.78E-21,specimages/fbs0007-DFBSJ150112.99+425641.7.fits,specimagesjpeg/fbs0007-DFBSJ150112.99+425641.7.jpg
20,20,fbs0007,DFBSJ150117.02+425520.2,01:17.0,+42:55:20.26,15.2,13.83,OK,91,15,2.66E-12,-7.45E-14,-1.98E-11,-3.17E-09,1.71E-11,-3.38E-14,2.92E-17,-9.30E-21,specimages/fbs0007-DFBSJ150117.02+425520.2.fits,specimagesjpeg/fbs0007-DFBSJ150117.02+425520.2.jpg
21,21,fbs0007,DFBSJ150122.47+425535.6,01:22.5,+42:55:35.65,16.91,16.57,U,85,20,1.13E-13,8.95E-16,4.18E-13,7.49E-11,-2.15E-13,1.92E-16,-3.87E-20,-1.33E-23,specimages/fbs0007-DFBSJ150122.47+425535.6.fits,specimagesjpeg/fbs0007-DFBSJ150122.47+425535.6.jpg
22,22,fbs0007,DFBSJ150122.86+425804.7,01:22.9,+42:58:04.73,14.4,13.04,U,119,15,5.20E-12,-1.46E-13,-3.87E-11,-6.20E-09,3.36E-11,-6.70E-14,5.81E-17,-1.86E-20,specimages/fbs0007-DFBSJ150122.86+425804.7.fits,specimagesjpeg/fbs0007-DFBSJ150122.86+425804.7.jpg
23,23,fbs0007,DFBSJ150124.46+425846.1,01:24.5,+42:58:46.13,14.02,12.54,OK,100,14,5.10E-11,-2.99E-13,-7.73E-11,-1.22E-08,6.62E-11,-1.33E-13,1.17E-16,-3.79E-20,specimages/fbs0007-DFBSJ150124.46+425846.1.fits,specimagesjpeg/fbs0007-DFBSJ150124.46+425846.1.jpg
