,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,dx,dy
0,fbs1309,DFBSJ041556.67-005308.4,04:15:56.676,-00:53:08.43,17.36,16.15,U,31,19,4911,4737
1,fbs1309,DFBSJ041557.48-004852.5,04:15:57.480,-00:48:52.52,16.06,15.45,U,83,17,4909,4903
2,fbs1309,DFBSJ041603.47-004852.8,04:16:03.471,-00:48:52.83,16.78,15.26,U,56,18,4852,4905
3,fbs1309,DFBSJ041608.03-004746.6,04:16:08.030,-00:47:46.62,15.8,15.0,U,75,18,4809,4949
4,fbs1309,DFBSJ041614.00-005245.9,04:16:14.003,-00:52:45.99,14.91,14.23,OK,85,18,4745,4757
5,fbs1309,DFBSJ041614.19-005607.3,04:16:14.193,-00:56:07.33,14.28,12.76,OK,91,16,4738,4627
6,fbs1309,DFBSJ041616.68-005512.1,04:16:16.683,-00:55:12.12,15.1,14.48,U,92,18,4715,4663
7,fbs1309,DFBSJ041618.47-005139.8,04:16:18.479,-00:51:39.87,14.62,13.65,OK,103,17,4703,4802
8,fbs1309,DFBSJ041619.14-005522.1,04:16:19.140,-00:55:22.19,11.87,11.6,OK,120,17,4692,4658
9,fbs1309,DFBSJ041619.80-005501.2,04:16:19.809,-00:55:01.25,15.5,13.64,U,61,18,4686,4671
10,fbs1309,DFBSJ041621.93-004800.0,04:16:21.936,-00:48:00.04,16.52,15.97,U,84,18,4675,4945
