,dy,dx,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path,jpeg_path
746,4894,4929,fbs1477,DFBSJ081755.98+190314.9,17:56.0,+19:03:14.99,15.87,13.68,U,108,16,-4.15E-11,-6.94E-14,-1.77E-11,-2.90E-09,1.49E-11,-2.83E-14,2.36E-17,-7.27E-21,specimages/fbs1477-DFBSJ081755.98+190314.9.fits,specimagesjpeg/fbs1477-DFBSJ081755.98+190314.9.jpg
747,4597,4915,fbs1477,DFBSJ081756.25+185537.2,17:56.3,+18:55:37.25,15.19,14.4,OK,109,17,3.35E-12,2.42E-15,7.27E-13,1.21E-10,4.55E-15,-8.28E-16,1.17E-18,-4.62E-22,specimages/fbs1477-DFBSJ081756.25+185537.2.fits,specimagesjpeg/fbs1477-DFBSJ081756.25+185537.2.jpg
748,4667,4903,fbs1477,DFBSJ081757.83+185724.2,17:57.8,+18:57:24.24,16.22,15.27,NL,120,17,-6.52E-12,-4.70E-15,-1.41E-12,-2.36E-10,1.35E-12,-2.76E-15,2.42E-18,-7.70E-22,specimages/fbs1477-DFBSJ081757.83+185724.2.fits,specimagesjpeg/fbs1477-DFBSJ081757.83+185724.2.jpg
749,4702,4901,fbs1477,DFBSJ081758.22+185818.0,17:58.2,+18:58:18.03,15.88,15.1,NL,85,17,4.44E-12,3.20E-15,9.63E-13,1.61E-10,-4.89E-13,5.02E-16,-1.76E-19,3.07E-24,specimages/fbs1477-DFBSJ081758.22+185818.0.fits,specimagesjpeg/fbs1477-DFBSJ081758.22+185818.0.jpg
750,4904,4901,fbs1477,DFBSJ081759.08+190328.7,17:59.1,+19:03:28.76,15.22,13.93,OK,78,17,-2.15E-11,-1.55E-14,-4.67E-12,-7.79E-10,4.60E-12,-9.49E-15,8.32E-18,-2.64E-21,specimages/fbs1477-DFBSJ081759.08+190328.7.fits,specimagesjpeg/fbs1477-DFBSJ081759.08+190328.7.jpg
751,4619,4887,fbs1477,DFBSJ081759.45+185609.4,17:59.5,+18:56:09.46,14.22,13.46,OK,92,17,1.68E-11,1.21E-14,3.64E-12,6.07E-10,-1.37E-12,3.02E-16,1.09E-18,-6.28E-22,specimages/fbs1477-DFBSJ081759.45+185609.4.fits,specimagesjpeg/fbs1477-DFBSJ081759.45+185609.4.jpg
752,4588,4873,fbs1477,DFBSJ081800.86+185521.1,18:00.9,+18:55:21.16,16.12,14.98,U,75,17,-1.67E-12,-1.21E-15,-3.62E-13,-6.05E-11,5.83E-13,-1.44E-15,1.37E-18,-4.55E-22,specimages/fbs1477-DFBSJ081800.86+185521.1.fits,specimagesjpeg/fbs1477-DFBSJ081800.86+185521.1.jpg
753,4633,4854,fbs1477,DFBSJ081803.04+185629.5,18:03.0,+18:56:29.53,15.43,14.8,OK,82,16,4.05E-12,6.78E-15,1.73E-12,2.83E-10,-9.47E-13,1.13E-15,-5.34E-19,7.22E-23,specimages/fbs1477-DFBSJ081803.04+185629.5.fits,specimagesjpeg/fbs1477-DFBSJ081803.04+185629.5.jpg
754,4871,4852,fbs1477,DFBSJ081804.21+190235.0,18:04.2,+19:02:35.09,15.08,13.71,OK,120,16,-2.19E-11,-3.66E-14,-9.36E-12,-1.53E-09,8.38E-12,-1.66E-14,1.42E-17,-4.47E-21,specimages/fbs1477-DFBSJ081804.21+190235.0.fits,specimagesjpeg/fbs1477-DFBSJ081804.21+190235.0.jpg
755,4778,4846,fbs1477,DFBSJ081804.60+190012.6,18:04.6,+19:00:12.64,16.81,15.99,U,90,15,1.03E-13,-2.89E-15,-7.67E-13,-1.23E-10,7.04E-13,-1.45E-15,1.28E-18,-4.13E-22,specimages/fbs1477-DFBSJ081804.60+190012.6.fits,specimagesjpeg/fbs1477-DFBSJ081804.60+190012.6.jpg
756,4877,4815,fbs1477,DFBSJ081808.36+190242.2,18:08.4,+19:02:42.21,15.92,15.37,U,74,16,1.71E-12,2.87E-15,7.33E-13,1.20E-10,-3.34E-13,2.66E-16,-5.53E-21,-4.58E-23,specimages/fbs1477-DFBSJ081808.36+190242.2.fits,specimagesjpeg/fbs1477-DFBSJ081808.36+190242.2.jpg
757,4706,4804,fbs1477,DFBSJ081808.84+185818.7,18:08.8,+18:58:18.76,14.07,12.7,OK,101,15,4.06E-12,-1.14E-13,-3.02E-11,-4.84E-09,2.67E-11,-5.34E-14,4.63E-17,-1.47E-20,specimages/fbs1477-DFBSJ081808.84+185818.7.fits,specimagesjpeg/fbs1477-DFBSJ081808.84+185818.7.jpg
758,4794,4798,fbs1477,DFBSJ081809.88+190034.4,18:09.9,+19:00:34.49,16.89,15.36,U,53,17,-4.88E-12,-3.52E-15,-1.06E-12,-1.77E-10,1.06E-12,-2.20E-15,1.92E-18,-6.06E-22,specimages/fbs1477-DFBSJ081809.88+190034.4.fits,specimagesjpeg/fbs1477-DFBSJ081809.88+190034.4.jpg
759,4623,4773,fbs1477,DFBSJ081811.93+185609.8,18:11.9,+18:56:09.84,16.79,15.99,U,57,15,1.74E-13,-4.87E-15,-1.30E-12,-2.08E-10,1.22E-12,-2.57E-15,2.35E-18,-7.83E-22,specimages/fbs1477-DFBSJ081811.93+185609.8.fits,specimagesjpeg/fbs1477-DFBSJ081811.93+185609.8.jpg
