_Glon,_Glat,_RAJ2000,_DEJ2000,Cl,Name,Vmag,z
deg,deg,deg,deg,,,mag,

100.174423,-55.203358,0.04875,5.388056,Sy1,RXS J00001+0523,16.4,0.04
99.844434,-57.30727,0.61,3.351667,Sy1,MARK 543,14.68,0.026
86.112841,-70.112882,0.88375,-10.744722,Sy1,NGC 7808,15.4,0.029
114.304767,-16.638006,1.039583,45.440278,Sy1,RXS J00041+4526,16.9,0.12
104.972206,-50.897341,1.45625,10.376944,Sy1,RXS J00058+1022,16.7,0.095
98.400418,-61.846153,1.559583,-1.146389,Sy1,SDSS J00062-0108,17,0.09
108.763316,-41.42422,1.58125,20.203056,Sy1,MARK 335,13.85,0.026
99.261627,-63.179446,2.415,-2.243889,Sy1,MS 00071-0231,16.33,0.085
97.426005,-65.517902,2.545,-4.71,Sy1,MARK 937,13.8,0.03
95.967262,-66.979823,2.583333,-6.285,Sy1,RXS J00103-0617,16.55,0.078
106.979207,-50.625458,2.629167,10.974444,Sy1,III Zw 2,15.4,0.089
114.220911,-24.536352,2.8375,37.656389,Sy1,RXS J00113+3739,16.5,0.104
95.019478,-69.697632,3.396667,-8.903889,Sy1,SDSS J00135-0854,16.93,0.098
112.984163,-35.069972,3.72125,27.094722,Sy1,RXS J00148+2705,16.4,0.086
115.353786,-29.67441,5.030417,32.736111,Sy1,RXS J00201+3244,17,0.082
98.573346,-72.182072,5.479583,-10.720833,Sy1,SDSS J00219-1043,16.97,0.089
101.186657,-70.655646,5.722083,-8.998889,Sy1,SDSS J00228-0859,16.17,0.107
109.966122,-57.463947,5.905,4.705833,Sy1,RXS J00236+0442,16.3,0.081
120.174481,-17.125953,9.0875,45.665,Sy1,Zw 535.012,14.25,0.048
120.341449,-21.326369,9.637917,41.480556,Sy1,S10721,17,0.072
117.925344,-56.368309,10.071667,6.395,Sy1,2E 0037+0607,17,0.063
115.107598,-70.413967,10.22,-7.702778,Sy1,NPM1G-07.0025,16.5,0.055
120.963506,-22.480532,10.4725,40.354722,Sy1,MARK 957,15.14,0.073
121.040282,-22.511401,10.567083,40.326667,Sy1,IV Zw 29,16.3,0.102
115.252955,-73.562817,10.653333,-10.822778,Sy1,VIII Zw 36,16.58,0.041
116.196834,-72.401627,10.798333,-9.637778,Sy1,SDSS J00431-0938,15.37,0.054
120.335825,-47.02272,11.020417,15.811944,Sy1,SDSS J00440+1548,16.06,0.08
120.490786,-62.23519,11.7225,0.615,Sy1,SDSS J00468+0036,16.79,0.068
121.440352,-48.156499,11.830833,14.703333,Sy1,MARK 1146,16.95,0.039
119.872467,-72.627506,11.932917,-9.777778,Sy1,SDSS J00477-0946,16.66,0.1
122.276456,-30.91143,12.196667,31.956944,Sy1,MARK 348,14.59,0.014
122.969884,-33.470627,12.895833,29.401111,Sy1,UGC 524,14.5,0.036
123.093522,-45.438544,12.978333,17.433056,Sy1,MARK 1148,15.96,0.064
127.113083,-65.510429,14.593333,-2.695,Sy1,NPM1G-02.0022,16.6,0.073
125.026201,-31.010439,14.972083,31.826944,Sy1,MARK 352,14.81,0.015
138.087691,-76.722382,16.411667,-14.270556,Sy1,PHL 3318,15.51,0.07
125.642458,-16.466074,16.625,46.326389,Sy1,SNU J01064+4619,16.3,0.124
129.448039,-49.313722,17.22,13.337222,Sy1,3C 33.0,15.9,0.06
133.401721,-62.040063,17.747083,0.433611,Sy1,SDSS J01109+0026,15.72,0.019
131.351902,-51.815466,18.145417,10.710278,Sy1,NPM1G+10.0048,16.1,0.056
147.052271,-76.657472,18.458333,-14.846111,Sy1,MARK 1152,15,0.052
131.300233,-49.235579,18.4625,13.271667,Sy1,MARK 975,14.95,0.05
130.082082,-36.693803,19.225417,25.824167,Sy1,RXS J01169+2549,16.7,0.099
136.75979,-62.174109,19.265,0.007778,Sy1,2E 0114-0015,16.79,0.046
129.797933,-30.455756,19.8425,32.043333,Sy1,KUG 0116+317,16.4,0.057
152.765006,-75.051297,20.458333,-13.969167,Sy1,NPM1G-14.0067,14.66,0.055
139.897234,-62.900813,20.499167,-1.04,Sy1,II Zw 1,16.78,0.054
130.737453,-28.57152,21.111667,33.799444,Sy1,NGC 513,13.4,0.019
131.278073,-30.182368,21.380833,32.136389,Sy1,MARK 993,13.96,0.017
131.623818,-30.661897,21.64,31.616389,Sy1,MARK 358,15.23,0.042
134.387299,-42.866951,21.727083,19.214444,Sy1,XBS J01269+1912,13.7,0.043
134.596815,-42.873628,21.885417,19.178889,Sy1,MARK 359,14.22,0.017
132.490266,-28.985106,22.849583,33.143889,Sy1,KUG 0128+328,16.5,0.07
132.466345,-26.423387,23.38,35.668056,Sy1,MARK 1157,13.9,0.015
155.017484,-69.945662,23.510833,-9.774167,Sy1,SDSS J01340-0946,14.7,0.041
149.378394,-65.126782,23.69,-4.503611,Sy1,RXS J01347-0430,15.8,0.079
144.479689,-57.298362,24.327917,3.641667,Sy1,PHL 1070,16.6,0.079
140.036548,-48.137119,24.489583,13.183611,Sy1,SDSS J01379+1311,16.77,0.079
141.513726,-49.617068,25.021667,11.491389,Sy1,RXS J01401+1129,16.2,0.065
158.221085,-68.80615,25.079583,-9.352778,Sy1,SDSS J01403-0921,16.4,0.135
137.048009,-37.479,25.095417,24.0475,Sy1,RXS J01403+2402,17,0.072
133.369261,-23.474807,25.10125,38.4025,Sy1,RXS J01404+3824,16.9,0.067
141.140968,-47.410612,25.43,13.675556,Sy1,SDSS J01417+1340,16.88,0.045
133.468066,-22.44413,25.49125,39.391667,Sy1,B2 0138+39B,16.01,0.08
148.233396,-57.918441,25.990833,2.349722,Sy1,MARK 573,14.07,0.017
160.817586,-65.892958,27.51125,-7.430278,Sy1,IRAS 01475-0740,15.62,0.017
165.254228,-63.8045,30.277083,-6.815556,Sy1,NGC 788,12.76,0.013
175.091045,-67.120605,31.153333,-11.995556,Sy1,KUG 0202-122,16.5,0.072
150.330835,-45.36609,32.26625,13.335833,Sy1,SDSS J02090+1320,16.26,0.061
163.101545,-57.0341,33.409583,-0.716944,Sy1,SDSS J02136-0043,16.54,0.02
163.499703,-56.941905,33.64,-0.766667,Sy1,MARK 590,13.81,0.027
157.392544,-48.634499,35.0575,8.205556,Sy1,MARK 1400,15.27,0.029
140.254094,-16.771807,35.798333,42.9925,Sy1,3C 66.0B,14.81,0.021
146.113874,-27.166176,37.06,31.311389,Sy1,MARK 1040,14.74,0.016
146.051228,-26.902536,37.127083,31.574722,Sy1,MS 02255+3121,16.82,0.058
179.694237,-60.477418,37.522917,-8.998056,Sy1,MARK 1044,14.29,0.017
145.762702,-24.275333,38.137917,34.074444,Sy1,RXS J02325+3404,16.3,0.079
168.15203,-52.50227,38.465,1.136944,Sy1,SDSS J02338+0108,16.24,0.022
180.835831,-59.490095,38.6575,-8.7875,Sy1,NGC 985,14.28,0.043
168.794822,-51.177082,39.614167,1.907778,Sy1,NGC 1019,14.95,0.024
164.75943,-46.545545,40.395417,7.187222,Sy1,MARK 595,14.69,0.028
166.448878,-47.778781,40.560833,5.51,Sy1,RXS J02422+0530,16,0.069
160.371667,-39.243686,42.030833,14.999167,Sy1,2MASS J02481+1459,17,0.072
161.21451,-40.088917,42.091667,13.935278,Sy1,MARK 1187,16.33,0.045
174.000528,-50.959699,42.198333,-0.109167,Sy1,SDSS J02487-0006,16.88,0.025
157.705225,-35.484492,42.33625,19.304167,Sy1,MARK 372,14.81,0.031
185.246619,-55.893103,42.985,-8.376944,Sy1,SDSS J02519-0822,15.73,0.062
190.85693,-55.656854,45.017917,-10.824444,Sy1,MCG -02.08.038,15.27,0.033
162.271764,-36.352098,45.033333,16.503889,Sy1,RXS J03000+1630,16.4,0.035
191.840021,-55.893212,45.1175,-11.417778,Sy1,MCG -02.08.039,14.3,0.03
153.526754,-23.48985,46.008333,31.389722,Sy1,V Zw 317,16.5,0.058
174.858069,-44.513511,47.109167,4.110833,Sy1,NGC 1218,13.9,0.029
178.870213,-46.928662,47.314583,0.418889,Sy1,SDSS J03092+0025,16.3,0.108
179.18144,-46.872835,47.499167,0.299444,Sy1,SDSS J03099+0017,16.89,0.098
180.537076,-47.538493,47.61625,-0.830833,Sy1,KUV 03079-0101,16.33,0.081
154.0837,-21.65553,47.685,32.658056,Sy1,RXS J03107+3239,17,0.127
180.067957,-44.797572,49.455833,1.226944,Sy1,SDSS J03178+0113,16.77,0.037
183.622057,-45.363576,50.649167,-1.051944,Sy1,SDSS J03225-0103,15.7,0.041
155.727044,-18.75665,51.171667,34.179167,Sy1,B2 0321+33,15.72,0.063
190.437738,-46.522436,52.555,-5.543056,Sy1,SDSS J03302-0532,16.39,0.013
178.586457,-39.424478,52.7175,5.640556,Sy1,HS 0328+0528,15.7,0.043
201.873718,-50.109726,53.2825,-13.909444,Sy1,NPM1G-14.0176,16.3,0.039
181.494042,-37.983615,55.309167,4.89,Sy1,HS 0338+0443,16.7,0.084
169.716724,-27.906265,55.784583,18.973611,Sy1,RXS J03431+1858,16.7,0.11
186.572353,-39.110261,56.917083,1.087222,Sy1,IRAS 03450+0055,14.64,0.031
170.955742,-25.445452,58.442917,19.973611,Sy1,IC 355,15.4,0.029
186.061414,-36.767952,58.539167,2.825278,Sy1,2E 0351+0240,16.2,0.036
204.864022,-45.307868,58.636667,-13.668889,Sy1,RXS J03545-1340,16.6,0.077
177.316077,-25.862487,62.25125,15.513611,Sy1,IRAS 04061+1522,16.3,0.045
204.198194,-41.105223,62.30625,-11.4175,Sy1,RXS J04092-1125,16.2,0.09
193.129332,-35.006589,63.279167,-0.837778,Sy1,NPM1G-00.0148,16.3,0.04
201.000632,-38.264828,63.719583,-7.927778,Sy1,MS 04124-0802,14.91,0.037
187.716031,-31.027519,63.975,5.156389,Sy1,RXS J04158+0509,16.94,0.097
187.616721,-27.535736,66.767917,7.275833,Sy1,KUV 04244+0710,16.5,0.096
197.943107,-32.055722,67.904167,-2.689722,Sy1,RXS J04316-0241,16.2,0.042
190.373038,-27.396935,68.29625,5.354167,Sy1,3C 120,15.05,0.033
138.782959,15.853558,68.619167,71.468056,Sy1,RXS J04344+7127,16.5,0.025
206.720306,-34.660264,69.0925,-10.376389,Sy1,MARK 618,14.51,0.035
207.42073,-34.429735,69.55875,-10.795833,Sy1,MCG -02.12.050,15,0.036
205.16388,-32.763897,70.229167,-8.372778,Sy1,NPM1G-08.0177,14.5,0.015
205.368835,-32.578759,70.475,-8.442778,Sy1,1ES 0439-085,15.7,0.041
185.853842,-21.087594,71.12,12.353056,Sy1,IRAS 04416+1215,16.15,0.089
200.565334,-28.940274,71.736667,-3.086667,Sy1,NPM1G-03.0212,16.4,0.031
202.679846,-29.846227,71.83625,-5.137222,Sy1,NPM1G-05.0216,15.11,0.044
201.941801,-28.258369,72.923333,-3.809444,Sy1,MCG -01.13.025,14.18,0.013
194.618943,-22.189247,74.789167,4.975,Sy1,UGC 3223,14.41,0.018
190.907002,-19.61667,75.086667,9.282222,Sy1,IRAS 04576+0912,16.58,0.037
