,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path
0,fbs0005,DFBSJ142114.64+425823.6,14:21:14.640,+42:58:23.63,13.86,13.15,OK,101,16,-2.18998131369984e-11,-3.6659370011617584e-14,-9.37304348861448e-12,-1.5322935531966097e-09,1.0241762062125957e-11,-2.2802133480122238e-14,2.1092592853381847e-17,-6.99975830678365e-21,specimages/fbs0005-DFBSJ142114.64+425823.6.fits
1,fbs0005,DFBSJ142122.01+425921.3,14:21:22.012,+42:59:21.37,12.85,12.2,OK,106,13,-3.7927624440456755e-11,-3.6479287660280763e-14,-1.2084785969590012e-11,-1.86585582048691e-09,1.8013828798470515e-11,-4.706942470791473e-14,4.814869915189029e-17,-1.724177911936123e-20,specimages/fbs0005-DFBSJ142122.01+425921.3.fits
2,fbs0005,DFBSJ142125.68+425138.2,14:21:25.688,+42:51:38.29,16.38,14.85,NL,83,17,-1.8153883892083212e-11,-1.3098811524461482e-14,-3.936085881933107e-12,-6.570810512308085e-10,3.2874560463476785e-12,-6.007407059730227e-15,4.796813885997003e-18,-1.4196198163844139e-21,specimages/fbs0005-DFBSJ142125.68+425138.2.fits
3,fbs0005,DFBSJ142126.80+425301.4,14:21:26.802,+42:53:01.40,14.45,13.57,NL,120,17,-4.0779085650954044e-11,-2.942381854989065e-14,-8.84161093226339e-12,-1.4759948191304162e-09,8.681218409371391e-12,-1.7933995187259337e-14,1.5738135036633065e-17,-5.009264678065062e-21,specimages/fbs0005-DFBSJ142126.80+425301.4.fits
4,fbs0005,DFBSJ142141.43+430014.5,14:21:41.436,+43:00:14.59,16.39,16.47,NL,90,16,-1.0245079467988747e-12,-1.714980139991232e-15,-4.3848456029240865e-13,-7.168273647380994e-11,5.490072000189692e-13,-1.3309553385975874e-15,1.3170577906475239e-18,-4.632789963700636e-22,specimages/fbs0005-DFBSJ142141.43+430014.5.fits
5,fbs0005,DFBSJ142145.60+425741.8,14:21:45.600,+42:57:41.81,17.01,16.58,U,27,18,-1.0000021096563415e-11,-2.6607086338689056e-15,-1.0326942931285648e-12,-1.7625394427522177e-10,8.974908934154484e-13,-1.6864913729805688e-15,1.3820075498198183e-18,-4.1689959411866384e-22,specimages/fbs0005-DFBSJ142145.60+425741.8.fits
6,fbs0006,DFBSJ144118.92+425749.2,14:41:18.927,+42:57:49.27,15.95,14.96,U,116,16,-1.3209117452421872e-11,-2.2111562493364505e-14,-5.653476660214182e-12,-9.242262550487605e-10,5.0380396515884126e-12,-1.0005802805904193e-14,8.614502033983366e-18,-2.723473850894945e-21,specimages/fbs0006-DFBSJ144118.92+425749.2.fits
7,fbs0006,DFBSJ144119.77+430129.7,14:41:19.777,+43:01:29.72,12.38,12.04,OK,120,10,7.789383097151735e-10,8.888174487020093e-13,1.982672299172839e-10,2.9118440231054006e-08,-1.4200030072150135e-10,2.71175105137647e-13,-2.3778572641483435e-16,8.004468407807635e-20,specimages/fbs0006-DFBSJ144119.77+430129.7.fits
8,fbs0006,DFBSJ144124.90+425948.6,14:41:24.903,+42:59:48.65,16.77,15.25,U,102,17,-2.35039727703522e-11,-1.6959127242090453e-14,-5.096078697632572e-12,-8.507272896728941e-10,4.366447313313073e-12,-8.256986736584821e-15,6.814367454667771e-18,-2.0738160053360913e-21,specimages/fbs0006-DFBSJ144124.90+425948.6.fits
9,fbs0006,DFBSJ144129.51+425736.3,14:41:29.512,+42:57:36.34,16.14,15.48,U,81,18,-6.5688661630651476e-12,-1.7477719856787302e-15,-6.78357874891688e-13,-1.1577740217841948e-10,8.252546310582924e-13,-1.840638699904164e-15,1.6666608293857864e-18,-5.352658234160423e-22,specimages/fbs0006-DFBSJ144129.51+425736.3.fits
10,fbs0006,DFBSJ144135.00+430003.3,14:41:35.005,+43:00:03.33,16.59,15.93,U,85,17,-2.3429375585051885e-12,-1.69052132320804e-15,-5.079867625180969e-13,-8.48015716289631e-11,6.507402920292757e-13,-1.5192221932771225e-15,1.4290908185805874e-18,-4.755813941902387e-22,specimages/fbs0006-DFBSJ144135.00+430003.3.fits
11,fbs0006,DFBSJ144136.84+425315.9,14:41:36.848,+42:53:15.98,14.31,12.92,OK,99,16,-8.864605679381969e-11,-1.483901481191644e-13,-3.794034251587046e-11,-6.202459907559029e-09,3.369527555515533e-11,-6.671150984595793e-14,5.726745759946933e-17,-1.80551960094011e-20,specimages/fbs0006-DFBSJ144136.84+425315.9.fits
12,fbs0006,DFBSJ144144.19+425739.1,14:41:44.197,+42:57:39.17,16.13,15.19,U,93,17,-1.3966629863493945e-11,-1.0077513399172413e-14,-3.0282089057716825e-12,-5.055213672601272e-10,2.8549162639247536e-12,-5.760219543429e-15,4.97975831297057e-18,-1.5690322365573717e-21,specimages/fbs0006-DFBSJ144144.19+425739.1.fits
